codigo	nome	valor_sem_contraste	valor_com_contraste
40804054	RX-ARTICULACAOCOXOFEMORAL (QUADRIL) RX - COXA RX - JOELHO	40.0	40.0
40804062	RX - JOELHO RX - PATELA	40.00	40.00
40804070	RX - PERNA	40.00	40.00
40804089	RX - PERNA RX - ARTICULACAO TIBIOTARSICA (TORNOZELO)	40.00	40.00
40804097	RX - ARTICULACAO TIBIOTARSICA (TORNOZELO) RX - PE OU PODODACTILO	40.00	40.00
40804100	RX - PE OU PODODACTILO RX - CALCANEO	40.00	40.00
40804119	RX - CALCANEO RX - ESCANOMETRIA	40.00	40.00
40804127	RX - ESCANOMETRIA RX - PANORAMICA DOS MEMBROS INFERIORES	50.00	50.00
40804135	RX - PANORAMICA DOS MEMBROS INFERIORES RX - INCIDENCIA ADICIONAL DE MEMBRO INFERIOR	15.00	15.00
40805018	RX - INCIDENCIA ADICIONAL DE MEMBRO INFERIOR RX - TORAX - 1 INCIDENCIA	30.00	30.00
40805026	RX - TORAX - 1 INCIDENCIA RX - TORAX - 2 INCIDENCIAS	40.00	40.00
40805034	RX - TORAX - 2 INCIDENCIAS RX - TORAX - 3 INCIDENCIAS	40.00	40.00
40805042	RX - TORAX - 3 INCIDENCIAS RX - TORAX - 4 INCIDENCIAS	60.00	60.00
40805077	RX - TORAX - 4 INCIDENCIAS RX - LARINGE OU HIPOFARINGE OU PESCOCO (PARTES	40.00	40.00
40808017	RX - LARINGE OU HIPOFARINGE OU PESCOCO (PARTES MOLES) RX - ABDOME SIMPLES	40.00	40.00
40808025	RX - ABDOME SIMPLES RX - ABDOME AGUDO	50.00	50.00
40808114	RX - ABDOME AGUDO RX - ESQUELETO (INCIDENCIAS BASICAS DE: CRANIO)	310.00	310.00
