codigo	nome	valor_sem_contraste	valor_com_contraste
40801047	RX - ORBITAS - BILATERAL ORELHA, MASTOIDES OU ROCHEDOS - BILATERAL	45.00	45.00
40801098	RX - ORELHA, MASTOIDES OU ROCHEDOS - BILATERAL OSSOS DA FACE	45.00	45.00
40804127	RX - OSSOS DA FACE PANORAMICA DOS MEMBROS INFERIORES	150.00	150.00
40804062	RX - PANORAMICA DOS MEMBROS INFERIORES PATELA	65.00	65.00
40804097	RX - PATELA PE OU PODODACTILO - UNILATERAL	45.00	45.00
40804070	RX - PE OU PODODACTILO - UNILATERAL PERNA - UNILATERAL	45.00	45.00
40803112	RX - PERNA - UNILATERAL PUNHO - UNILATERAL	45.00	45.00
40802078	RX - PUNHO - UNILATERAL SACRO-COCCIX	70.00	70.00
40801063	RX - SACRO-COCCIX SEIOS DA FACE	45.00	45.00
40801071	RX - SEIOS DA FACE SELA TURCICA	60.00	60.00
40805018	RX - SELA TURCICA TORAX - 1 INCIDENCIA TORAX - 2 INCIDENCIAS	45.00	45.00
40805026	RX - TORAX - 1 INCIDENCIA TORAX - 2 INCIDENCIAS TORAX - 3 INCIDENCIAS	45.00	45.00
40805034	RX - TORAX - 3 INCIDENCIAS US-MAMAS US -OBSTETRICA SIMPLES SEM3D US- OBSTETRICA MORFOLOGICA 1° TRIMESTRE COM 11 a 14 semanas de TRANSLUCENCIA NUCAL US-OBSTETRICA COM DOPPLERCOLORIDO de gestacao US-OBS	60.00	60.00
