codigo	nome	valor
40810046	Avaliacao hemodinamica por cateterismo (aferimento	461.20
40811018	Radioscopia diagnostica	118.85
40812014	Aortografia abdominal por puncao translombar	357.21
40812022	Angiografia por puncao	323.81
40812030	Angiografia por cateterismo nao seletivo de grande	577.23
40812049	Servico 40812049	541.85
40812057	Angiografia por cateterismo seletivo de ramo prima	624.90
40812065	Angiografia por cateterismo superseletivo de ramo	215.81
40812073	Angiografia transoperatoria de posicionamento	215.81
40812081	Flebografia por puncao venosa unilateral 3 Angiografia pos-operatoria de controle	311.66
40812090	Servico 40812090	566.72
40812103	Portografia trans-hepatica 0 Flebografia retrograda por cateterismo - unilatera	645.04
40812111	Servico 40812111	548.11
40812120	Esplenoportografia percutanea	418.65
40812138	Linfangioadenografia unilateral	251.74
40812146	Cavernosografia	307.67
40814149	Paracentese orientada por RX ou US Farmaco-cavernosografia (dinamica)	176.33
40901505	Us - Obstetrica: perfil biofisico fetal	255.75
40901513	Servico 40901513	238.09
40901521	Doppler colorido de arterias penianas (sem farmaco	207.89
40901530	Uitrassonografia diagnostica - monocular Uitrassonografia biomicroscopica - monocular	155.17
40901580	Us - Estudo sonografico dinamico das vias urinaria	461.89
40901599	Us - Estudo sonografico dinamico das vias urinaria	461.89
40901602	Doppler transcraniano	427.55
40901610	Us - Cranio para crianca	154.74
40901629	Servico 40901629	678.78
40901688	Uus - Ecodopplercardiograma com analise do sincroni	270.68
40901696	Us - Adicional de reconstrucao 3D - ECO Us - Ecodopplercardiograma com estresse fisico	552.51
40901700	Ecodopplercardiograma sob estresse fisico ou farma	844.85
40901718	Ecodopplercardiograma para ajuste de marca-passo	858.53
40901726	Servico 40901726	427.55
40901734	Us - Neurossonografia fetal	108.64
40901742	US . Transretal Radial + US-Peca cirugica	300.41
40901750	US - Prostata (via abdominal)	135.66
40901769	Us - Aparelho urinario (rins, ureteres e bexiga)	136.21
40901793	Servico 40901793	593.72
40901815	Elastografia hepatica ultrassonica	645.38
40901823	Us - Orgao ou estrutura isolada com contrate micro	645.38
40901858	Us - Vascular com contraste microboihas	599.79
40902013	Us - Pesguisa de endometriose	214.77
40902021	Us - obstetrica: com amniocentese Us - Obstetrica 1o trimestre com puncao: biopsia o	349.32
40902030	Servico 40902030	347.56
40902048	Us - Prostata transretal com biopsia - ate 8 fragm Us - Prostata transretal com biopsia - mais de 8 f	429.25
40902056	Us - Intra-operatorio	302.92
40902064	Doppler colorido intra-operatorio	425.63
40902072	Ecodopplercardiograma transoperatorio (transesofag	218.90
40902080	Ecodopplercardiograma transoperatorio (transesofag	61.07
40902110	Servico 40902110	279.21
40902129	Drenagem percutanea orientada por Us (acrescentar	120.40
40902137	Reducao de invaginacao intestinal por enema, orien	83.74
40902145	Monitorizacao por Doppler transcraniano	1331.70
40903010	Laudo Evolutivo de Ultrassonografia por procedimen Ecodopplercardiograma intracardiaco	120.40
41001010	Servico 41001010	446.53
41001028	TC - Cranio ou sela turcica ou orbitas	472.20
41001036	TC - Face 0u seios da face TC -Mastoides ou orelhas	492.15
41001044	TC - Articulacoes temporomandibulares	492.15
41001052	TC - Dental (dentascan)	413.08
41001060	TC - Pescoco (partes moles, laringe, tireoide, far	505.65
41001079	TC - Torax	505.65
41001087	Tc - Coracao - para avaliagao do escore de calcio	547.31
41001095	TC - Abdome total (abdone superior, pelve e retrop	764.76
41001109	Servico 41001109	505.65
41001117	TC - Abdome superior	472.20
41001125	TC - Coluna cervical ou dorsal ou lombo-sacra (ate Tc - Pelve ou bacia	400.56
41101111	Servico 41101111	941.44
41101120	RM - Pescoco (nasofaringe, orofaringe, laringe, tr RM - Torax (mediastino, pulmao, parede toracica)	990.68
41101138	RM - Coracao - morfologico e funcional	990.68
41101146	Rm - Coracao - morfologico e funcional + perfusao	1059.41
41101154	RM - Coracao - morfologico e funcional + perfusao	1140.64
41101170	RM - Abdome superior (figado, pancreas, baco, rins	990.68
41101189	RM - Pelve (nao inclui articulacoes coxofemorais)	941.44
41101197	RM - Fetal	990.68
41101200	Servico 41101200	918.95
41101219	RM - Penis	918.95
41101227	RM - Bolsa escrotal	941.44
41101235	RM - Coluna cervical ou dorsal ou lombar	267.83
41101243	RM - Fluxo liquorico (como complementar)	990.68
41101251	RM - Plexo braquial (desfiladeiro toracico) ou lom	941.44
41101260	RM - Membro superior unilateral (nao inclui mao e	941.44
