codigo	nome	valor
40901386	DOPPLER COLORIDO DE ÓRGÃO OU ESTRUTURA ISOLADA	166.47
40901394	DOPPLER COLORIDO DE AORTA E ARTÉRIAS RENAIS	182.97
40901408	DOPPLER COLORIDO DE AORTA E ILÍACAS	182.97
40901416	DOPPLER COLORIDO DE ARTÉRIAS VISCERAIS (MESENTÉRICAS SUPERIOR E INFERIOR E TRONCO CELÍACO)	182.97
40901424	DOPPLER COLORIDO DE HEMANGIOMA	182.97
40901432	DOPPLER COLORIDO DE VEIA CAVA SUPERIOR OU INFERIOR	182.97
40901459	DOPPLER COLORIDO ARTERIAL DE MEMBRO SUPERIOR - UNILATERAL	246.47
40901467	DOPPLER COLORIDO VENOSO DE MEMBRO SUPERIOR - UNILATERAL	269.93
40901475	DOPPLER COLORIDO ARTERIAL DE MEMBRO INFERIOR - UNILATERAL	246.47
40901483	DOPPLER COLORIDO VENOSO DE MEMBRO INFERIOR - UNILATERAL	269.93
40901513	DOPPLER COLORIDO DE ARTÉRIAS PENIANAS (SEM FÁRMACO INDUÇÃO)	150.45
40901530	ULTRASSONOGRAFIA DIAGNÓSTICA - MONOCULAR	92.00
40901548	DOPPLER CONVENCIONAL ÓRGÃO/ESTRUTURA ISOLADA	62.08
40901572	ULTRASSOM COM DOPPLER ABDÔME TOTAL E PELVE FEMININO	162.40
40901610	US - CRÂNIO PARA CRIANÇA	35.00
40901661	US - ECODOPPLER DE CARÓTIDAS	202.97
40901742	US - TRANSRETAL RADIAL	278.89
40901750	US - PRÓSTATA (VIA ABDOMINAL)	94.48
40901769	US - APARELHO URINÁRIO (RINS, URETERES E BEXIGA)	137.69
40901858	US - PESQUISA DE ENDOMETRIOSE	723.89
41001010	TC - CRÂNIO OU SELA TÚRCICA OU ÓRBITAS	284.26
41001028	TC - MASTÓIDES OU ORELHAS	305.71
41001036	TC - FACE OU SEIOS DA FACE	264.92
41001044	TC - ARTICULAÇÕES TEMPOROMANDIBULARES	264.92
41001060	TC - PESCOÇO (PARTES MOLES, LARINGE, TIREÓIDE, FARINGE E GLÂNDULAS SALIVARES)	324.71
41001079	TC - TÓRAX	324.71
41001095	TC - ABDOME TOTAL (ABDOME SUPERIOR, PELVE E RETROPERITÔNIO)	495.89
41001109	TC - ABDOME SUPERIOR	324.71
41001117	TC - PELVE OU BACIA	305.71
41001125	TC - COLUNA CERVICAL OU DORSAL OU LOMBO-SACRA (ATÉ 3 SEGMENTOS)	256.98
41001133	TC - COLUNA - SEGMENTO ADICIONAL	73.65
41001141	TC - ARTICULAÇÃO (ESTERNOCLAVICULAR OU OMBRO OU COTOVELO OU PUNHO OU SACROILÍACAS OU COXOFEMORAL OU JOELHO OU TORNOZELO) - UNILATERAL	305.71
41001150	TC - SEGMENTO APENDICULAR (BRAÇO OU ANTEBRAÇO OU MÃO OU COXA OU PERNA OU PÉ) - UNILATERAL	305.71
41001176	ANGIOTOMOGRAFIA DE AORTA TORÁCICA	336.71
41001184	ANGIOTOMOGRAFIA DE AORTA ABDOMINAL	336.71
41001273	TC - MANDÍBULA	370.54
41001281	TC - MAXILAR	370.54
41001370	ANGIOTOMOGRAFIA ARTERIAL DE CRÂNIO	390.81
41001389	ANGIOTOMOGRAFIA VENOSA DE CRÂNIO	390.81
41001397	ANGIOTOMOGRAFIA ARTERIAL DE PESCOÇO	390.81
41001400	ANGIOTOMOGRAFIA VENOSA DE PESCOÇO	546.14
41001419	ANGIOTOMOGRAFIA ARTERIAL DE TÓRAX	390.81
41001427	ANGIOTOMOGRAFIA VENOSA DE TÓRAX	390.81
41001451	ANGIOTOMOGRAFIA ARTERIAL DE PELVE	390.81
41001460	ANGIOTOMOGRAFIA VENOSA DE PELVE	390.81
41001516	ANGIOTOMOGRAFIA ARTERIAL PULMONAR	390.81
